iso,chain,sub_chain,2015
CR,Biomass,Biomass & Waste - O&M,1
CI,Biomass,Biomass & Waste - O&M,1
DO,Biomass,Biomass & Waste - O&M,0
EC,Biomass,Biomass & Waste - O&M,0
EG,Biomass,Biomass & Waste - O&M,0
SV,Biomass,Biomass & Waste - O&M,0
ET,Biomass,Biomass & Waste - O&M,0
GH,Biomass,Biomass & Waste - O&M,1
GT,Biomass,Biomass & Waste - O&M,0
GY,Biomass,Biomass & Waste - O&M,0
HT,Biomass,Biomass & Waste - O&M,0
HN,Biomass,Biomass & Waste - O&M,0
IN,Biomass,Biomass & Waste - O&M,1
IN-AP,Biomass,Biomass & Waste - O&M,1
IN-BR,Biomass,Biomass & Waste - O&M,1
IN-MP,Biomass,Biomass & Waste - O&M,0
IN-OR,Biomass,Biomass & Waste - O&M,1
IN-UP,Biomass,Biomass & Waste - O&M,1
IN-WB,Biomass,Biomass & Waste - O&M,1
ID,Biomass,Biomass & Waste - O&M,1
JM,Biomass,Biomass & Waste - O&M,0
JO,Biomass,Biomass & Waste - O&M,0
KE,Biomass,Biomass & Waste - O&M,1
LB,Biomass,Biomass & Waste - O&M,0
LR,Biomass,Biomass & Waste - O&M,0
